,City,Name,State
22,TUCSON,PIMA COMMUNITY COLLEGE, AZ
11,GLENDALE,GLENDALE COMMUNITY COLLEGE, CA
9,WESTMINSTER,FRONT RANGE COMMUNITY COLLEGE, CO
24,DANIELSON,QUINEBAUG VALLEY COMMUNITY COLLEGE, CT
15,MANCHESTER,MANCHESTER COMMUNITY COLLEGE, CT
10,NEW HAVEN,GATEWAY COMMUNITY COLLEGE, CT
26,SANFORD,SEMINOLE STATE COLLEGE OF FLORIDA, FL
8,KEY WEST,FLORIDA KEYS COMMUNITY COLLEGE, FL
23,WINTER HAVEN,POLK STATE COLLEGE, FL
17,MIAMI,MIAMI DADE COLLEGE, FL
1,FORT LAUDERDALE,BROWARD COLLEGE, FL
13,OGLESBY,ILLINOIS VALLEY COMMUNITY COLLEGE, IL
19,PALOS HILLS,MORAINE VALLEY COMMUNITY COLLEGE, IL
2,EL DORADO,BUTLER COMMUNITY COLLEGE, KS
18,MINNEAPOLIS,MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE, MN
3,WILMINGTON,CAPE FEAR COMMUNITY COLLEGE, NC
14,MANCHESTER,MANCHESTER COMMUNITY COLLEGE, NH
25,BRANCHBURG,RARITAN VALLEY COMMUNITY COLLEGE, NJ
16,WEST WINDSOR,MERCER COUNTY COMMUNITY COLLEGE, NJ
31,NEW YORK,STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE, NY
36,NEW YORK,STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE, NY
32,SUFFERN,SUNY ROCKLAND COMMUNITY COLLEGE, NY
0,BINGHAMTON,BROOME COMMUNITY COLLEGE, NY
37,SUFFERN,SUNY ROCKLAND COMMUNITY COLLEGE, NY
6,LONG ISLAND CITY,CUNY LAGUARDIA COMMUNITY COLLEGE, NY
5,BRONX,CUNY BRONX COMMUNITY COLLEGE, NY
4,NEW YORK,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE, NY
7,MEDIA,DELAWARE COUNTY COMMUNITY COLLEGE, PA
21,ANNANDALE,NORTHERN VIRGINIA COMMUNITY COLLEGE, VA
20,SEATTLE,NORTH SEATTLE COLLEGE, WA
12,AUBURN,GREEN RIVER COLLEGE, WA
27,SHORELINE,SHORELINE COMMUNITY COLLEGE, WA
28,SEATTLE,SOUTH SEATTLE COMMUNITY COLLEGE, WA
29,SPOKANE,SPOKANE COMMUNITY COLLEGE, WA
30,SPOKANE,SPOKANE FALLS COMMUNITY COLLEGE, WA
33,BELLINGHAM,WHATCOM COMMUNITY COLLEGE, WA
34,SPOKANE,SPOKANE COMMUNITY COLLEGE, WA
35,SPOKANE,SPOKANE FALLS COMMUNITY COLLEGE, WA
38,BELLINGHAM,WHATCOM COMMUNITY COLLEGE, WA
