,City,Name,State,session 1,session 2,price,rmp,notes,prof,rating,,,,,,,,
22,TUCSON,PIMA COMMUNITY COLLEGE, AZ,,,,,,,,,,,,,,,
11,GLENDALE,GLENDALE COMMUNITY COLLEGE, CA,,,,,,,,,,,,,,,
9,WESTMINSTER,FRONT RANGE COMMUNITY COLLEGE, CO,"May 30, 2018 - Aug 08, 2018","un 13, 2018 - Aug 08, 2018",,ok,too long term,,,,,,,,,,
24,DANIELSON,QUINEBAUG VALLEY COMMUNITY COLLEGE, CT,-,"July 9 _ August 10, 2018",608,good,,kaufman,3.8/3,,,,,,,,
15,MANCHESTER,MANCHESTER COMMUNITY COLLEGE, CT,-,07/02-08/10,800,,,seymour,"4, 5",,,,,,,,
10,NEW HAVEN,GATEWAY COMMUNITY COLLEGE, CT,07/02-08/01,05/29-06/27,810,good,,,,,,,,,,,
26,SANFORD,SEMINOLE STATE COLLEGE OF FLORIDA, FL,,,,,,,,,,,,,,,
8,KEY WEST,FLORIDA KEYS COMMUNITY COLLEGE, FL,-,,,,,,,,,,,,,,
23,WINTER HAVEN,POLK STATE COLLEGE, FL,,,,,,,,,,,,,,,
17,MIAMI,MIAMI DADE COLLEGE, FL,-,,,,,,,,,,,,,,
1,FORT LAUDERDALE,BROWARD COLLEGE, FL,5/14/2018 - 8/7/2018,06/27/18 - 08/07/18,742,"some vgood, some vbad",good full,ashley,4.3/2.5,malenfant LOT OF WORK,4.3/2,vazquez LOT OF WORK,4.1/2.7,fievre,4.7/1.9,martin,4.7/1.8
13,OGLESBY,ILLINOIS VALLEY COMMUNITY COLLEGE, IL,-,,,,,,,,,,,,,,
19,PALOS HILLS,MORAINE VALLEY COMMUNITY COLLEGE, IL,-,06/11/2018-08/03/2018_,,vbad,,,,,,,,,,,
2,EL DORADO,BUTLER COMMUNITY COLLEGE, KS,,,,,,,,,,,,,,,
18,MINNEAPOLIS,MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE, MN,,,,,,,,,,,,,,,
3,WILMINGTON,CAPE FEAR COMMUNITY COLLEGE, NC,,,,,,,,,,,,,,,
14,MANCHESTER,MANCHESTER COMMUNITY COLLEGE, NH,5/14-7/7,6/18-8/4,900,,,,,,,,,,,,
25,BRANCHBURG,RARITAN VALLEY COMMUNITY COLLEGE, NJ,"May 21, 2018 - Jun 29, 2018",,,great,,,,,,,,,,,
16,WEST WINDSOR,MERCER COUNTY COMMUNITY COLLEGE, NJ,-,7/5/2018 - 8/9/2018,1000,bad to ok,,,,,,,,,,,
31,NEW YORK,STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE, NY,,,,,,,,,,,,,,,
36,NEW YORK,STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE, NY,,,,,,,,,,,,,,,
32,SUFFERN,SUNY ROCKLAND COMMUNITY COLLEGE, NY,-,-,,,vvvgood option but closed,,,,,,,,,,
0,BINGHAMTON,BROOME COMMUNITY COLLEGE, NY,,,,,,,,,,,,,,,
37,SUFFERN,SUNY ROCKLAND COMMUNITY COLLEGE, NY,,,,,,,,,,,,,,,
6,LONG ISLAND CITY,CUNY LAGUARDIA COMMUNITY COLLEGE, NY,,,,,,,,,,,,,,,
5,BRONX,CUNY BRONX COMMUNITY COLLEGE, NY,-, 6/26/2017 - 7/27/2017,960,no info,,,,,,,,,,,
4,NEW YORK,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE, NY,05/30/2018 - 07/10/2018,,,vgood,,,,,,,,,,,
7,MEDIA,DELAWARE COUNTY COMMUNITY COLLEGE, PA,,,,,,,,,,,,,,,
21,ANNANDALE,NORTHERN VIRGINIA COMMUNITY COLLEGE, VA,,,,,,,,,,,,,,,
20,SEATTLE,NORTH SEATTLE COLLEGE, WA,,,,,,,,,,,,,,,
12,AUBURN,GREEN RIVER COLLEGE, WA,**** might be 8 week,**** might be 8 week,600,multiple vvgood,engl 126 not engl127,,,,,,,,,,
27,SHORELINE,SHORELINE COMMUNITY COLLEGE, WA,,,,bad,,,,,,,,,,,
28,SEATTLE,SOUTH SEATTLE COMMUNITY COLLEGE, WA,,,,,,,,,,,,,,,
29,SPOKANE,SPOKANE COMMUNITY COLLEGE, WA,7/2/2018 - 8/16/2018,7/2/2018 - 8/16/2018,750,multiple vvgood,,,,,,,,,,,
30,SPOKANE,SPOKANE FALLS COMMUNITY COLLEGE, WA,7/2/2018 - 8/16/2018,7/2/2018 - 8/16/2018,750,,,,,,,,,,,,
33,BELLINGHAM,WHATCOM COMMUNITY COLLEGE, WA,,,,,,,,,,,,,,,
34,SPOKANE,SPOKANE COMMUNITY COLLEGE, WA,,,,,,,,,,,,,,,
35,SPOKANE,SPOKANE FALLS COMMUNITY COLLEGE, WA,,,,,,,,,,,,,,,
38,BELLINGHAM,WHATCOM COMMUNITY COLLEGE, WA,,,,,NOT ONLONE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,middlesex cc,ct,,,,,,floridia,4.6/3.3,,,,,,,,
,,tuxnis cc,ct,,,,,,stashenko,4.3/2.8,lot of work,,,,,,,
,good full,tallahassee cc,fl,,6/26 - 8/8,1161,,,paliwoda,4.7/1.8,,,,,,,,
,,eastern florida state college,fl,,6/11 - 8/3,1262,,,bradley,4.7/2.4,,,,,,,,
,,St. Johns River State College,fl,,6/27-8/10,1160,,,terry,4.3/2.7,turner,4.3/2.6,,,,,,
,,miami dade,fl,,6/25-8/7,1207,,,lamazares,4.8/1.9,,,,,,,,
,,Florida State College at Jacksonville;,fl,,5/29-8/21,700,,,flint,4.8/1.9,,,,,,,,
,full,county college of morris,nj,5/21-6/23,6/25-7/28,1200,,,mcaree,4.8/1.9,,,,,,,,
