,City,Name,State,session 1,session 2,price,prof,rating,,,,,,,,
22,TUCSON,PIMA COMMUNITY COLLEGE, AZ,,,,,,,,,,,,,
11,GLENDALE,GLENDALE COMMUNITY COLLEGE, CA,,,,,,,,,,,,,
9,WESTMINSTER,FRONT RANGE COMMUNITY COLLEGE, CO,"May 30, 2018 - Aug 08, 2018","un 13, 2018 - Aug 08, 2018",,,,,,,,,,,
24,DANIELSON,QUINEBAUG VALLEY COMMUNITY COLLEGE, CT,-,"July 9 _ August 10, 2018",608,kaufman,3.8/3,,,,,,,,
15,MANCHESTER,MANCHESTER COMMUNITY COLLEGE, CT,-,07/02-08/10,800,seymour,"4, 5",,,,,,,,
10,NEW HAVEN,GATEWAY COMMUNITY COLLEGE, CT,07/02-08/01,05/29-06/27,810,,,,,,,,,,
26,SANFORD,SEMINOLE STATE COLLEGE OF FLORIDA, FL,,,,,,,,,,,,,
8,KEY WEST,FLORIDA KEYS COMMUNITY COLLEGE, FL,-,,,,,,,,,,,,
23,WINTER HAVEN,POLK STATE COLLEGE, FL,,,,,,,,,,,,,
17,MIAMI,MIAMI DADE COLLEGE, FL,-,,,,,,,,,,,,
1,FORT LAUDERDALE,BROWARD COLLEGE, FL,5/14/2018 - 8/7/2018,06/27/18 - 08/07/18,742,ashley,4.3/2.5,malenfant,4.3/2,vazquez,4.1/2.7,fievre,4.7/1.9,martin,4.7/1.8
13,OGLESBY,ILLINOIS VALLEY COMMUNITY COLLEGE, IL,-,,,,,,,,,,,,
19,PALOS HILLS,MORAINE VALLEY COMMUNITY COLLEGE, IL,-,06/11/2018-08/03/2018_,,,,,,,,,,,
2,EL DORADO,BUTLER COMMUNITY COLLEGE, KS,,,,,,,,,,,,,
18,MINNEAPOLIS,MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE, MN,,,,,,,,,,,,,
3,WILMINGTON,CAPE FEAR COMMUNITY COLLEGE, NC,,,,,,,,,,,,,
14,MANCHESTER,MANCHESTER COMMUNITY COLLEGE, NH,5/14-7/7,6/18-8/4,900,,,,,,,,,,
25,BRANCHBURG,RARITAN VALLEY COMMUNITY COLLEGE, NJ,"May 21, 2018 - Jun 29, 2018",,,,,,,,,,,,
16,WEST WINDSOR,MERCER COUNTY COMMUNITY COLLEGE, NJ,-,7/5/2018 - 8/9/2018,1000,,,,,,,,,,
31,NEW YORK,STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE, NY,,,,,,,,,,,,,
36,NEW YORK,STELLA AND CHARLES GUTTMAN COMMUNITY COLLEGE, NY,,,,,,,,,,,,,
32,SUFFERN,SUNY ROCKLAND COMMUNITY COLLEGE, NY,-,-,,,,,,,,,,,
0,BINGHAMTON,BROOME COMMUNITY COLLEGE, NY,,,,,,,,,,,,,
37,SUFFERN,SUNY ROCKLAND COMMUNITY COLLEGE, NY,,,,,,,,,,,,,
6,LONG ISLAND CITY,CUNY LAGUARDIA COMMUNITY COLLEGE, NY,,,,,,,,,,,,,
5,BRONX,CUNY BRONX COMMUNITY COLLEGE, NY,-, 6/26/2017 - 7/27/2017,960,,,,,,,,,,
4,NEW YORK,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE, NY,05/30/2018 - 07/10/2018,,,,,,,,,,,,
7,MEDIA,DELAWARE COUNTY COMMUNITY COLLEGE, PA,,,,,,,,,,,,,
21,ANNANDALE,NORTHERN VIRGINIA COMMUNITY COLLEGE, VA,,,,,,,,,,,,,
20,SEATTLE,NORTH SEATTLE COLLEGE, WA,,,,,,,,,,,,,
12,AUBURN,GREEN RIVER COLLEGE, WA,**** might be 8 week,**** might be 8 week,600,,,,,,,,,,
27,SHORELINE,SHORELINE COMMUNITY COLLEGE, WA,,,,,,,,,,,,,
28,SEATTLE,SOUTH SEATTLE COMMUNITY COLLEGE, WA,,,,,,,,,,,,,
29,SPOKANE,SPOKANE COMMUNITY COLLEGE, WA,7/2/2018 - 8/16/2018,7/2/2018 - 8/16/2018,750,,,,,,,,,,
30,SPOKANE,SPOKANE FALLS COMMUNITY COLLEGE, WA,7/2/2018 - 8/16/2018,7/2/2018 - 8/16/2018,750,,,,,,,,,,
33,BELLINGHAM,WHATCOM COMMUNITY COLLEGE, WA,,,,,,,,,,,,,
34,SPOKANE,SPOKANE COMMUNITY COLLEGE, WA,,,,,,,,,,,,,
35,SPOKANE,SPOKANE FALLS COMMUNITY COLLEGE, WA,,,,,,,,,,,,,
38,BELLINGHAM,WHATCOM COMMUNITY COLLEGE, WA,,,,,,,,,,,,,
